no,salary,edu,freq,compan,purpose,average
1,[3001 5000],>硕士,6-8次,朋友,陪同异性,[50 99]
2,[5001 7000],>硕士,1次,家人,享受,[50 99]
3,[3001 5000],本科,>13次,情人,享受,[50 99]
4,[5001 7000],>硕士,2-3次,朋友,陪同异性,[150 199]
5,<1000,本科,1次,朋友,陪同异性,[50 99]
6,<1000,本科,6-8次,朋友,陪同异性,[100 149]
7,<1000,大专,6-8次,家人,享受,[150 199]
8,>9000,>硕士,4-5次,家人,享受,[150 199]
9,[7001 9000],本科,4-5次,情人,享受,[50 99]
10,[5001 7000],本科,4-5次,朋友,享受,[100 149]
11,<1000,大专,2-3次,情人,享受,[50 99]
12,[1000 3000],本科,2-3次,朋友,生活用品,[100 149]
13,[3001 5000],本科,2-3次,朋友,陪同异性,[100 149]
14,[3001 5000],本科,6-8次,家人,享受,[100 149]
15,[5001 7000],本科,6-8次,家人,享受,[100 149]
16,[1000 3000],本科,6-8次,情人,享受,[50 99]
17,[3001 5000],本科,2-3次,家人,享受,[50 99]
18,[1000 3000],本科,6-8次,朋友,陪同异性,[50 99]
19,[3001 5000],>硕士,2-3次,同学,享受,[50 99]
20,[3001 5000],本科,6-8次,同学,享受,[100 149]
21,[3001 5000],本科,6-8次,朋友,享受,[50 99]
22,[1000 3000],本科,1次,朋友,陪同异性,[50 99]
23,[7001 9000],>硕士,1次,情人,无聊,[50 99]
24,[3001 5000],本科,4-5次,朋友,生活用品,[50 99]
25,[5001 7000],本科,6-8次,朋友,陪同异性,[50 99]
26,[1000 3000],本科,6-8次,朋友,陪同异性,[50 99]
27,[3001 5000],本科,4-5次,朋友,陪同异性,[50 99]
28,[1000 3000],本科,9-12次,朋友,享受,[50 99]
29,[3001 5000],本科,6-8次,朋友,陪同异性,[150 199]
30,[3001 5000],本科,9-12次,家人,享受,[50 99]
31,[1000 3000],本科,6-8次,朋友,享受,[100 149]
32,[1000 3000],本科,2-3次,家人,享受,[50 99]
33,[3001 5000],本科,6-8次,朋友,享受,[50 99]
34,<1000,>硕士,6-8次,朋友,陪同异性,[50 99]
35,[1000 3000],本科,2-3次,同学,陪同异性,[100 149]
36,[3001 5000],本科,6-8次,朋友,享受,[50 99]
37,[1000 3000],本科,9-12次,无聊,无聊,<50
38,[5001 7000],>硕士,1次,客户,公事,[150 199]
39,[1000 3000],本科,6-8次,同学,陪同异性,[50 99]
40,[1000 3000],本科,6-8次,无聊,享受,[100 149]
41,[3001 5000],本科,4-5次,同学,陪同异性,[50 99]
42,[1000 3000],本科,6-8次,朋友,陪同异性,<50
43,[3001 5000],本科,1次,朋友,生活用品,[50 99]
44,[1000 3000],>硕士,4-5次,朋友,陪同异性,[50 99]
45,[1000 3000],本科,6-8次,朋友,公事,>200
46,<1000,本科,1次,朋友,无聊,[50 99]
47,[1000 3000],本科,9-12次,家人,陪同异性,[50 99]
48,[1000 3000],本科,6-8次,朋友,享受,[50 99]
49,[1000 3000],本科,6-8次,朋友,生活用品,[100 149]
50,[1000 3000],本科,2-3次,同学,享受,[50 99]
51,<1000,本科,1次,朋友,无聊,[50 99]
52,>9000,本科,2-3次,同学,公事,>200
53,[5001 7000],本科,1次,客户,享受,[50 99]
54,[5001 7000],>硕士,2-3次,同学,陪同异性,[100 149]
55,>9000,本科,1次,同学,公事,[50 99]
56,[1000 3000],本科,9-12次,无聊,无聊,>200
57,[1000 3000],本科,6-8次,朋友,陪同异性,[50 99]
58,[1000 3000],本科,9-12次,朋友,陪同异性,[50 99]
59,[1000 3000],本科,9-12次,无聊,无聊,[50 99]
60,[3001 5000],本科,1次,同学,生活用品,>200
61,>9000,本科,4-5次,朋友,陪同异性,[150 199]
62,[3001 5000],本科,4-5次,朋友,享受,[50 99]
63,>9000,本科,2-3次,同学,享受,[50 99]
64,[3001 5000],本科,1次,同学,公事,[100 149]
65,[3001 5000],本科,6-8次,朋友,陪同异性,[150 199]
66,[5001 7000],本科,1次,家人,享受,[50 99]
67,[1000 3000],本科,6-8次,家人,生活用品,[150 199]
68,[3001 5000],本科,4-5次,朋友,享受,[100 149]
69,[3001 5000],本科,4-5次,朋友,陪同异性,[150 199]
70,[1000 3000],本科,4-5次,情人,生活用品,[100 149]
71,[5001 7000],本科,1次,家人,享受,[50 99]
72,[3001 5000],本科,6-8次,朋友,陪同异性,[50 99]
73,[1000 3000],本科,2-3次,同学,享受,[100 149]
74,[5001 7000],本科,1次,朋友,享受,[100 149]
75,[5001 7000],>硕士,2-3次,同学,公事,[100 149]
76,>9000,本科,1次,朋友,生活用品,[50 99]
77,[7001 9000],本科,2-3次,客户,公事,[50 99]
78,[3001 5000],本科,2-3次,家人,享受,[150 199]
79,[1000 3000],本科,4-5次,客户,生活用品,[50 99]
80,[3001 5000],本科,2-3次,客户,陪同异性,[100 149]
81,[1000 3000],本科,9-12次,朋友,陪同异性,[50 99]
82,[7001 9000],>硕士,1次,朋友,陪同异性,[100 149]
83,[5001 7000],>硕士,1次,家人,享受,[50 99]
84,>9000,本科,4-5次,朋友,生活用品,[100 149]
85,[5001 7000],>硕士,2-3次,家人,生活用品,[100 149]
86,<1000,本科,4-5次,家人,陪同异性,[100 149]
87,[3001 5000],本科,4-5次,家人,享受,[50 99]
88,[5001 7000],>硕士,1次,家人,生活用品,[100 149]
89,<1000,本科,1次,朋友,享受,>200
90,[5001 7000],本科,6-8次,家人,陪同异性,[50 99]
91,<1000,本科,6-8次,朋友,无聊,<50
92,>9000,本科,9-12次,同学,陪同异性,[150 199]
93,[5001 7000],>硕士,6-8次,朋友,陪同异性,[50 99]
94,[3001 5000],本科,1次,朋友,陪同异性,[50 99]
95,[3001 5000],本科,6-8次,朋友,陪同异性,<50
96,[7001 9000],本科,1次,朋友,陪同异性,[50 99]
97,[5001 7000],本科,6-8次,同学,陪同异性,[50 99]
98,[7001 9000],本科,1次,家人,陪同异性,>200
99,[5001 7000],本科,2-3次,朋友,享受,[100 149]
100,[3001 5000],本科,2-3次,同学,陪同异性,[50 99]
101,[3001 5000],本科,4-5次,情人,生活用品,[50 99]
102,<1000,本科,6-8次,朋友,享受,[50 99]
103,[3001 5000],本科,4-5次,朋友,陪同异性,[50 99]
104,[3001 5000],本科,6-8次,朋友,陪同异性,<50
105,[3001 5000],本科,6-8次,朋友,陪同异性,<50
106,[3001 5000],本科,6-8次,朋友,陪同异性,<50
107,[3001 5000],本科,6-8次,朋友,享受,[50 99]
108,[3001 5000],本科,6-8次,家人,享受,[50 99]
109,[3001 5000],本科,6-8次,情人,陪同异性,[50 99]
110,[3001 5000],本科,9-12次,朋友,享受,[50 99]
111,[5001 7000],<高中,2-3次,情人,享受,[50 99]
112,[3001 5000],本科,9-12次,朋友,享受,[50 99]
113,[5001 7000],>硕士,1次,朋友,陪同异性,[100 149]
114,[3001 5000],本科,4-5次,朋友,享受,[50 99]
115,[3001 5000],本科,6-8次,朋友,陪同异性,[50 99]
116,[3001 5000],本科,6-8次,家人,生活用品,[50 99]
117,[3001 5000],本科,6-8次,朋友,陪同异性,[50 99]
118,[3001 5000],>硕士,6-8次,朋友,陪同异性,<50
119,<1000,本科,2-3次,家人,生活用品,[100 149]
120,[3001 5000],本科,6-8次,朋友,享受,[50 99]
121,[3001 5000],本科,9-12次,无聊,陪同异性,[50 99]
122,[3001 5000],本科,2-3次,情人,享受,[100 149]
123,<1000,本科,6-8次,朋友,享受,[50 99]
124,<1000,本科,1次,朋友,享受,[50 99]
125,<1000,本科,1次,朋友,享受,[50 99]
126,[7001 9000],本科,9-12次,无聊,无聊,<50
127,[7001 9000],>硕士,1次,情人,陪同异性,[100 149]
128,[3001 5000],>硕士,9-12次,情人,陪同异性,[50 99]
129,[3001 5000],本科,1次,朋友,陪同异性,[50 99]
130,[5001 7000],本科,4-5次,朋友,陪同异性,[100 149]
131,[7001 9000],本科,2-3次,情人,享受,[50 99]
132,[5001 7000],>硕士,4-5次,朋友,陪同异性,[100 149]
133,[3001 5000],本科,9-12次,家人,陪同异性,[50 99]
134,<1000,本科,1次,家人,生活用品,<50
135,[7001 9000],本科,6-8次,家人,陪同异性,[50 99]
136,<1000,本科,6-8次,家人,生活用品,[50 99]
137,>9000,本科,6-8次,朋友,公事,>200
138,[3001 5000],本科,6-8次,朋友,陪同异性,[50 99]
139,[1000 3000],本科,1次,家人,生活用品,[100 149]
140,[5001 7000],本科,2-3次,同学,公事,[150 199]
141,[5001 7000],本科,4-5次,家人,享受,[150 199]
142,[3001 5000],本科,6-8次,家人,享受,[150 199]
143,[5001 7000],>硕士,6-8次,同学,生活用品,[100 149]
144,[5001 7000],本科,1次,家人,享受,[150 199]
145,[3001 5000],大专,2-3次,家人,享受,[50 99]
146,[5001 7000],本科,6-8次,朋友,享受,[50 99]
147,[3001 5000],本科,2-3次,朋友,陪同异性,[150 199]
148,[7001 9000],本科,6-8次,同学,享受,[100 149]
149,[5001 7000],>硕士,1次,家人,生活用品,>200
150,[7001 9000],>硕士,2-3次,朋友,陪同异性,>200
151,[5001 7000],本科,6-8次,朋友,陪同异性,<50
152,[3001 5000],大专,2-3次,情人,陪同异性,[150 199]
153,[7001 9000],本科,9-12次,无聊,无聊,[100 149]
154,>9000,本科,2-3次,情人,陪同异性,[150 199]
155,[7001 9000],<高中,2-3次,情人,享受,>200
156,[5001 7000],本科,6-8次,情人,陪同异性,>200
157,[1000 3000],大专,2-3次,朋友,陪同异性,[50 99]
158,>9000,>硕士,2-3次,同学,公事,>200
159,[5001 7000],大专,2-3次,朋友,陪同异性,[150 199]
160,<1000,大专,1次,家人,生活用品,[150 199]
161,[3001 5000],大专,2-3次,朋友,陪同异性,[100 149]
162,>9000,本科,2-3次,朋友,陪同异性,>200
163,[5001 7000],本科,6-8次,同学,享受,>200
164,[3001 5000],大专,6-8次,情人,陪同异性,[100 149]
165,[3001 5000],大专,2-3次,情人,陪同异性,[150 199]
166,>9000,大专,2-3次,客户,享受,>200
167,[7001 9000],>硕士,2-3次,家人,公事,[100 149]
168,<1000,>硕士,2-3次,朋友,享受,>200
169,[1000 3000],>硕士,2-3次,朋友,享受,>200
170,<1000,大专,1次,朋友,陪同异性,[50 99]
171,[3001 5000],本科,1次,情人,享受,[50 99]
172,[5001 7000],>硕士,1次,情人,享受,[100 149]
173,[3001 5000],>硕士,1次,情人,享受,[100 149]
174,[1000 3000],本科,2-3次,情人,陪同异性,[50 99]
175,>9000,本科,2-3次,情人,陪同异性,[150 199]
176,[5001 7000],<高中,6-8次,同学,享受,[150 199]
177,[5001 7000],<高中,1次,情人,生活用品,[150 199]
178,>9000,<高中,1次,家人,陪同异性,>200
179,<1000,>硕士,2-3次,朋友,陪同异性,[50 99]
180,[3001 5000],大专,2-3次,朋友,享受,[50 99]
181,[7001 9000],本科,2-3次,家人,公事,[100 149]
182,>9000,>硕士,6-8次,家人,生活用品,[50 99]
183,<1000,>硕士,1次,家人,生活用品,[100 149]
184,<1000,>硕士,9-12次,客户,公事,[50 99]
185,[3001 5000],本科,6-8次,朋友,陪同异性,[50 99]
186,[5001 7000],本科,1次,朋友,陪同异性,[50 99]
187,>9000,本科,1次,朋友,陪同异性,[100 149]
188,>9000,本科,2-3次,朋友,公事,[100 149]
189,[5001 7000],本科,2-3次,家人,陪同异性,[50 99]
190,[7001 9000],本科,1次,朋友,公事,[100 149]
191,[7001 9000],本科,1次,朋友,公事,[100 149]
192,[7001 9000],本科,2-3次,客户,公事,[150 199]
193,[7001 9000],本科,6-8次,客户,公事,[100 149]
194,[7001 9000],>硕士,2-3次,朋友,陪同异性,[50 99]
195,>9000,本科,1次,客户,公事,[150 199]
196,[3001 5000],本科,6-8次,朋友,陪同异性,[50 99]
197,[5001 7000],本科,6-8次,同学,公事,[50 99]
198,[5001 7000],本科,2-3次,朋友,享受,[50 99]
199,[5001 7000],>硕士,2-3次,同学,公事,[100 149]
200,[7001 9000],本科,6-8次,情人,享受,[100 149]
201,<1000,本科,6-8次,情人,陪同异性,[100 149]
202,[5001 7000],本科,6-8次,同学,陪同异性,<50
203,[7001 9000],本科,6-8次,同学,享受,[50 99]
204,>9000,>硕士,2-3次,情人,陪同异性,>200
205,<1000,本科,9-12次,朋友,享受,[50 99]
206,>9000,>硕士,1次,同学,享受,[50 99]
207,[7001 9000],本科,6-8次,同学,享受,[50 99]
208,[3001 5000],本科,2-3次,朋友,陪同异性,[50 99]
209,[5001 7000],本科,9-12次,同学,公事,<50
210,[7001 9000],本科,6-8次,同学,享受,[50 99]
211,>9000,本科,6-8次,朋友,无聊,[50 99]
212,>9000,本科,4-5次,朋友,享受,[50 99]
213,[5001 7000],本科,6-8次,同学,享受,[50 99]
214,[5001 7000],本科,6-8次,朋友,陪同异性,[50 99]
215,[3001 5000],本科,6-8次,朋友,生活用品,[50 99]
216,[3001 5000],大专,6-8次,情人,陪同异性,[50 99]
217,[5001 7000],本科,6-8次,家人,陪同异性,[50 99]
218,[5001 7000],本科,6-8次,朋友,陪同异性,[50 99]
219,<1000,大专,4-5次,家人,享受,[50 99]
220,[3001 5000],本科,1次,情人,陪同异性,[50 99]
221,[1000 3000],本科,6-8次,家人,享受,[50 99]
222,[1000 3000],本科,4-5次,朋友,陪同异性,[50 99]
